Latitude	Longitude	Year	Month	Time	GS	Customers	Country
48.352729	11.713735	2022	6	2022-06-01	3323.331	9	DE
52.204051	4.395217	2022	6	2022-06-01	215.4339	1	NL
52.146084	5.408318	2022	6	2022-06-01	633.9876	1	All
51.532826	4.476297	2022	4	2022-04-01	842.2187	1	NL
47.003308	7.426416	2023	1	2023-01-01	1167.95	1	CH
51.800541	5.329798	2022	8	2022-08-01	953.9042	1	NL
52.160018	4.499356	2022	4	2022-04-01	277.0037	1	All
52.550582	7.328283	2022	11	2022-11-01	6881.2324	9	DE
48.3153	14.04577	2022	4	2022-04-01	1917.9898	6	All
52.681597	6.174569	2022	11	2022-11-01	332.4772	1	All
52.401646	4.632359	2022	7	2022-07-01	1679.6688	4	All
48.365386	10.896935	2022	4	2022-04-01	3317.2786	2	DE
51.831871	4.699703	2022	11	2022-11-01	322.734	1	NL
41.13216	16.854242	2023	1	2023-01-01	305.301	1	All
52.130555	5.588661	2023	1	2023-01-01	430.8335	1	NL
51.851527	4.887194	2022	2	2022-02-01	307.7275	1	NL
53.212241	6.274836	2022	10	2022-10-01	215.1873	1	NL
53.114313	6.087511	2022	5	2022-05-01	307.7893	1	All
52.18554	5.377988	2022	6	2022-06-01	246.2188	1	NL
51.954305	5.212108	2022	6	2022-06-01	615.5786	1	NL
53.189336	6.137602	2022	9	2022-09-01	356.9832	1	NL
46.913269	7.148896	2022	3	2022-03-01	778.61	1	CH
51.94341	4.565966	2022	5	2022-05-01	430.8678	1	NL
49.735669	12.01606	2022	11	2022-11-01	1107.964	3	DE
51.579778	7.109309	2022	9	2022-09-01	2378.5883	2	All
52.705396	6.53491	2022	6	2022-06-01	400.065	1	All
51.349188	5.387451	2022	4	2022-04-01	1477.5614	1	All
47.591908	9.067987	2022	12	2022-12-01	409.01	1	All
50.70984	12.975769	2022	9	2022-09-01	203.4029	1	DE
52.110884	6.06289	2022	5	2022-05-01	369.2355	1	All
52.229727	4.830769	2022	3	2022-03-01	615.5786	1	All
52.588785	6.096709	2022	3	2022-03-01	2068.2014	2	All
48.26457	16.80354	2023	1	2023-01-01	744.106	1	AT
42.677432	-1.785329	2022	7	2022-07-01	104.598	1	All
53.636289	10.847351	2022	5	2022-05-01	469.4245	2	All
48.142825	11.558278	2022	9	2022-09-01	250.3945	1	DE
52.075945	4.347176	2022	4	2022-04-01	289.256	1	All
51.767283	5.531176	2022	3	2022-03-01	843.2641	1	All
49.650709	11.002842	2022	2	2022-02-01	234.675	1	All
45.432781	8.738167	2022	5	2022-05-01	274.756	1	IT
52.745727	6.526468	2022	11	2022-11-01	576.2323	1	All
60.099261	19.922386	2022	6	2022-06-01	852.7239	2	All
57.16693	9.741849	2022	8	2022-08-01	34583.602	52	All
52.513078	4.954849	2022	5	2022-05-01	933.0947	1	All
52.00391	6.125852	2022	12	2022-12-01	1177.2205	1	All
52.495131	6.109123	2022	2	2022-02-01	245.9729	1	All
52.298727	7.999211	2022	11	2022-11-01	5702.9133	17	All
49.323081	7.21563	2022	2	2022-02-01	938.3275	2	DE
49.264327	8.131558	2022	9	2022-09-01	2860.1349	2	All
51.267585	5.921311	2022	12	2022-12-01	430.9296	1	NL
51.81735	5.843992	2022	12	2022-12-01	276.4695	1	All
51.837345	5.878911	2022	2	2022-02-01	196.7783	1	All
46.81229	9.400226	2022	4	2022-04-01	142.31	1	CH
45.91512	0.255788	2022	4	2022-04-01	92.827	1	FR
47.14071	7.970295	2023	1	2023-01-01	142.31	1	CH
48.46292	16.26925	2023	1	2023-01-01	310.367	1	All
51.804407	4.66128	2022	10	2022-10-01	215.1873	1	All
37.657321	14.522637	2022	3	2022-03-01	305.301	1	All
50.062681	8.214797	2022	2	2022-02-01	775.8154	3	DE
53.069697	8.628353	2022	12	2022-12-01	3342.4842	7	DE
46.019557	8.984136	2022	6	2022-06-01	4329.29	5	CH
51.818667	3.976546	2022	7	2022-07-01	873.7413	1	NL
49.393583	10.996021	2022	5	2022-05-01	1711.1398	4	All
51.261418	12.423957	2022	6	2022-06-01	4269.932	8	DE
46.068418	8.977169	2022	7	2022-07-01	1305.99	2	All
52.218764	5.474655	2022	9	2022-09-01	326.2601	1	All
51.73164	5.30598	2022	8	2022-08-01	522.853	1	NL
51.415085	5.387853	2022	10	2022-10-01	182.7798	2	All
42.14475	14.698319	2022	12	2022-12-01	567.4665	3	IT
51.422287	5.46192	2022	4	2022-04-01	104.598	1	All
56.2	14.949999	2022	11	2022-11-01	4439.1918	7	SE
53.671813	10.128551	2022	12	2022-12-01	2315.1829	3	DE
52.360097	13.109283	2022	7	2022-07-01	2979.7765	11	DE
60.301471	24.361227	2022	9	2022-09-01	1105.3029	1	FI
49.488998	7.90346	2022	6	2022-06-01	525.1505	2	DE
46.53047	14.32428	2022	2	2022-02-01	148.9255	1	AT
52.264203	4.632746	2022	9	2022-09-01	350.9487	1	NL
55.704479	9.788299	2022	2	2022-02-01	6002.984	9	All
52.697835	5.237919	2022	11	2022-11-01	689.154	1	NL
52.202813	7.996619	2022	6	2022-06-01	3591.4595	10	DE
45.64793	13.797718	2022	3	2022-03-01	195.339	1	All
51.992674	14.354847	2022	6	2022-06-01	1358.0605	4	All
50.009369	8.257013	2022	9	2022-09-01	5958.6703	8	All
56.21576	10.036369	2022	2	2022-02-01	10585.138	19	DK
52.508162	5.463377	2022	6	2022-06-01	3027.8306	1	NL
51.727525	12.623465	2022	11	2022-11-01	125.16	1	DE
47.333145	7.843532	2022	4	2022-04-01	3280.41	8	CH
51.299016	7.366209	2022	4	2022-04-01	4404.0029	11	DE
51.507103	4.854099	2022	6	2022-06-01	492.296	1	NL
52.65487	4.8149	2022	10	2022-10-01	418.5537	1	NL
61.7667	6.2167	2022	6	2022-06-01	1185.6376	3	All
60.433737	25.395441	2022	9	2022-09-01	4274.012	3	FI
50.756001	12.880617	2022	10	2022-10-01	938.4892	2	All
50.844917	5.721515	2022	7	2022-07-01	215.454	1	NL
48.408981	12.848585	2022	12	2022-12-01	586.7955	1	DE
51.741452	5.780275	2022	5	2022-05-01	307.7595	1	All
58.383299	13.5667	2022	2	2022-02-01	299.2	1	All
59.733299	5.983299	2022	4	2022-04-01	696.5448	1	NO
60.574739	26.955076	2022	8	2022-08-01	735.8067	1	All
51.943473	4.362085	2022	8	2022-08-01	320.1026	1	All
52.045322	4.414585	2022	4	2022-04-01	541.3856	1	All
52.6345	10.310137	2022	4	2022-04-01	2383.8663	3	All
43.437667	13.355481	2022	9	2022-09-01	170.903	1	IT
54.252092	12.244628	2022	2	2022-02-01	337.932	1	DE
47.1444	13.80859	2022	4	2022-04-01	310.1435	1	All
59.0972	11.4472	2022	11	2022-11-01	3832.9256	2	NO
51.489694	4.040969	2022	8	2022-08-01	295.467	1	NL
64.197695	27.431238	2022	11	2022-11-01	4144.7188	1	All
52.708371	5.747883	2022	11	2022-11-01	689.0505	1	NL
51.890901	5.898156	2022	2	2022-02-01	809.1244	2	NL
52.192333	5.967775	2022	12	2022-12-01	246.2187	1	NL
50.451137	8.839185	2022	9	2022-09-01	3185.91	3	All
46.307735	4.874693	2023	1	2023-01-01	310.367	1	FR
50.590081	8.464426	2022	6	2022-06-01	3684.8744	11	DE
47.418155	8.366145	2023	1	2023-01-01	6290.83	6	All
52.594596	6.100224	2022	12	2022-12-01	1027.951	2	NL
49.631769	8.041511	2022	3	2022-03-01	344.19	1	DE
52.526175	6.436656	2022	5	2022-05-01	491.9235	1	NL
52.07095	4.252416	2023	1	2023-01-01	246.2225	1	All
52.117885	4.641708	2022	10	2022-10-01	1339.4587	1	All
45.273555	11.008834	2022	12	2022-12-01	365.795	1	All
48.802451	11.372694	2022	4	2022-04-01	187.5165	1	DE
51.701932	4.885415	2022	5	2022-05-01	535.4748	1	NL
40.730913	17.016937	2022	2	2022-02-01	210.0155	1	IT
